C.C.,CSV Receivable,DB Calculated Total,Match,Difference,PAID Count,ISSUED Count,NOT_ISSUED Count,PARTIALLY_PAID Count,DISCOUNT Count,UNKNOWN Count,Details
5762,18975,18975,MATCH,0,4,0,1,0,0,0,"NOT_ISSUED(+18975)"
5822,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
6379,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
6400,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
6422,5993,5993,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+5993)"
6507,39950,39950,MATCH,0,2,1,1,0,0,0,"NOT_ISSUED(+19975) | ISSUED(+19975)"
6612,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
6696,19975,19975,MATCH,0,4,0,1,0,0,0,"NOT_ISSUED(+19975)"
6717,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
7046,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
7246,18975,18975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+18975)"
7253,41950,41950,MATCH,0,1,1,1,0,0,0,"ISSUED(+20975) | NOT_ISSUED(+20975)"
7273,19975,19975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+19975)"
7336,19975,39950,MISMATCH,19975,3,1,1,0,0,0,"NOT_ISSUED(+19975) | ISSUED(+19975)"
7579,20575,20575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+20575)"
7588,20575,20575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+20575)"
7605,20575,20575,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+20575)"
7630,20575,20575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+20575)"
7635,20575,20575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+20575)"
7657,11788,11788,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+11788)"
7656,11788,11788,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+11788)"
7664,20575,20575,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+20575)"
7726,22575,22575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+22575)"
7728,39950,39950,MATCH,0,1,1,1,0,0,0,"NOT_ISSUED(+19975) | ISSUED(+19975)"
7740,22575,22575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+22575)"
7761,22975,22975,MATCH,0,5,0,1,0,0,0,"NOT_ISSUED(+22975)"
5656,11995,11995,MATCH,0,4,0,1,0,0,0,"NOT_ISSUED(+11995)"
5697,15975,16975,MISMATCH,1000,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
5747,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
6143,15975,15975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15975)"
6144,15975,15975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+15975)"
6200,35950,35950,MATCH,0,2,1,1,0,0,0,"NOT_ISSUED(+17975) | ISSUED(+17975)"
6273,17975,17975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17975)"
6394,15975,15975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15975)"
6425,16975,16975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+16975)"
6784,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
7448,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
7565,11995,29570,MISMATCH,17575,1,0,2,0,0,0,"NOT_ISSUED(+11995) | NOT_ISSUED(+17575)"
7602,15575,15575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15575)"
7663,17575,17575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17575)"
7683,17575,17575,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+17575)"
4577,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
5079,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
5205,16975,16975,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+16975)"
5309,16975,16975,MATCH,0,3,0,1,0,0,0,"NOT_ISSUED(+16975)"
5344,15995,15995,MATCH,0,2,0,1,0,0,0,"NOT_ISSUED(+15995)"
