cc,status
7719,Only in cleaned_fees_heads.csv
7732,Only in cleaned_fees_heads.csv
7733,Only in cleaned_fees_heads.csv
7785,Only in cleaned_fees_heads.csv
7833,Only in cleaned_fees_heads.csv
7844,Only in cleaned_fees_heads.csv
7859,Only in cleaned_fees_heads.csv
7001,Only in cleaned_fees_heads.csv
7223,Only in cleaned_fees_heads.csv
7369,Only in cleaned_fees_heads.csv
7377,Only in cleaned_fees_heads.csv
7386,Only in cleaned_fees_heads.csv
7416,Only in cleaned_fees_heads.csv
7427,Only in cleaned_fees_heads.csv
7447,Only in cleaned_fees_heads.csv
7462,Only in cleaned_fees_heads.csv
7531,Only in cleaned_fees_heads.csv
7561,Only in cleaned_fees_heads.csv
7637,Only in cleaned_fees_heads.csv
7653,Only in cleaned_fees_heads.csv
7669,Only in cleaned_fees_heads.csv
7691,Only in cleaned_fees_heads.csv
7729,Only in cleaned_fees_heads.csv
7671,Only in cleaned_fees_heads.csv
7769,Only in cleaned_fees_heads.csv
7784,Only in cleaned_fees_heads.csv
7182,Only in cleaned_fees_heads.csv
7316,Only in cleaned_fees_heads.csv
7317,Only in cleaned_fees_heads.csv
7322,Only in cleaned_fees_heads.csv
7345,Only in cleaned_fees_heads.csv
7414,Only in cleaned_fees_heads.csv
7463,Only in cleaned_fees_heads.csv
7527,Only in cleaned_fees_heads.csv
7617,Only in cleaned_fees_heads.csv
7676,Only in cleaned_fees_heads.csv
7715,Only in cleaned_fees_heads.csv
7778,Only in cleaned_fees_heads.csv
7861,Only in cleaned_fees_heads.csv
