C.C.,Receivable
7764.0,14575
7766.0,14575
7765.0,14575
7767.0,14575
7799.0,14575
7821.0,14575
7827.0,14575
7828.0,14575
7834.0,14575
7773.0,14575
7847.0,14575
7852.0,14575
7855.0,14575
7876.0,0
7877.0,0
7878.0,14975
7879.0,14975
7884.0,24962
7885.0,24962
7887.0,24962
7891.0,54925
7900.0,30000
7901.0,39950
7902.0,39950
7907.0,40000
7913.0,39950
7909.0,39950
7908.0,39950
7665.0,14575
7608.0,10575
7620.0,12575
7631.0,12575
7649.0,14575
7701.0,10575
7721.0,14575
7738.0,14575
7739.0,14575
7746.0,14575
7747.0,14575
7753.0,14575
7614.0,12575
7626.0,12575
7700.0,14575
7730.0,14575
7748.0,14575
7754.0,14575
7596.0,12575
7689.0,14575
7600.0,12575
7641.0,12575
7607.0,11575
7647.0,12575
7606.0,12575
7819.0,14575
7798.0,14575
7790.0,14575
7770.0,14575
7764.0,14575
7766.0,14575
7765.0,14575
7767.0,14575
7799.0,14575
7821.0,14575
7827.0,14575
7828.0,14575
7834.0,14575
7773.0,14575
7847.0,14575
7852.0,14575
7855.0,14575
7876.0,0
7877.0,0
7878.0,14975
7879.0,14975
7884.0,24962
7885.0,24962
7887.0,24962
7891.0,54925
7900.0,30000
7901.0,39950
7902.0,39950
7907.0,40000
7913.0,39950
7909.0,39950
7908.0,39950
